launch_id,invocations,grid_size,cycles,dram_kb,l1_req,l2_req
1,2,91.000000,1886.569444,15.104000,1465.000000,273.000000
2,1,94.000000,1998.055556,15.616000,1513.000000,279.000000
3,1,95.000000,1977.296296,15.616000,1529.000000,280.000000
4,1,98.000000,2043.907407,16.384000,1580.000000,288.000000
5,1,100.000000,2116.083333,16.896000,1612.000000,296.000000
6,1,103.000000,2155.759259,17.024000,1660.000000,308.000000
7,1,107.000000,2415.981481,17.408000,1724.000000,429.000000
8,1,108.000000,2285.907407,17.408000,1740.000000,324.000000
9,1,114.000000,2269.351852,18.048000,1836.000000,335.000000
10,1,121.000000,2301.055556,18.816000,1948.000000,354.000000
11,1,127.000000,2273.648148,19.584000,2044.000000,365.000000
12,1,131.000000,2315.935185,20.480000,2111.000000,374.000000
13,1,135.000000,2345.046296,21.120000,2175.000000,382.000000
14,1,136.000000,2395.851852,21.120000,2191.000000,383.000000
15,1,141.000000,2439.629630,21.760000,2271.000000,495.000000
16,1,151.000000,2288.953704,23.552000,2431.000000,414.000000
17,1,160.000000,2397.925926,23.808000,2575.000000,424.000000
18,1,165.000000,2292.037037,24.832000,2658.000000,438.000000
19,1,171.000000,2282.944444,25.600000,2754.000000,446.000000
20,1,175.000000,2292.972222,26.752000,2818.000000,459.000000
21,1,178.000000,2274.879630,26.496000,2866.000000,458.000000
22,2,190.000000,2433.319444,28.096000,3058.000000,534.000000
23,1,203.000000,2462.157407,29.824000,3269.000000,511.000000
24,1,210.000000,2292.046296,30.464000,3381.000000,523.000000
25,1,217.000000,2304.611111,31.744000,3493.000000,534.000000
26,1,222.000000,2330.916667,32.640000,3573.000000,540.000000
27,1,236.000000,2287.611111,34.048000,3800.000000,570.000000
28,1,243.000000,2307.638889,34.688000,3912.000000,583.000000
29,1,258.000000,2285.212963,36.480000,4155.000000,609.000000
30,1,275.000000,2341.907407,37.376000,4427.000000,729.000000
31,1,289.000000,2298.740741,39.040000,4654.000000,645.000000
32,1,296.000000,2325.416667,40.448000,4766.000000,670.000000
33,1,324.000000,2291.046296,44.160000,5217.000000,719.000000
34,1,351.000000,2314.379630,45.440000,5649.000000,736.000000
35,1,371.000000,2335.537037,47.232000,5972.000000,761.000000
36,1,387.000000,2323.324074,49.664000,6231.000000,804.000000
37,1,419.000000,2302.453704,52.992000,6746.000000,861.000000
38,1,434.000000,2349.916667,54.528000,6986.000000,978.000000
39,1,461.000000,2329.712963,57.472000,7421.000000,925.000000
40,1,521.000000,2357.861111,62.080000,8387.000000,1008.000000
41,1,565.000000,2419.407407,65.920000,9094.000000,1043.000000
42,1,609.000000,2364.638889,68.352000,9804.000000,1118.000000
43,1,739.000000,2476.037037,75.904000,11896.000000,1243.000000
44,1,953.000000,2537.972222,87.680000,15338.000000,1446.000000
